anno,date,liturgia1,liturgia2
2019,2019-01-01,http://www.lachiesa.it/calendario/Detailed/20190101.shtml,https://liturgia.silvestrini.org/letture/2019-01-01.html
2019,2019-01-01,http://www.lachiesa.it/calendario/Detailed/20190101.shtml,https://liturgia.silvestrini.org/letture/2019-01-01.html
2019,2019-01-03,http://www.lachiesa.it/calendario/Detailed/20190103.shtml,https://liturgia.silvestrini.org/letture/2019-01-03.html
2019,2019-01-06,http://www.lachiesa.it/calendario/Detailed/20190106.shtml,https://liturgia.silvestrini.org/letture/2019-01-06.html
2019,2019-01-13,http://www.lachiesa.it/calendario/Detailed/20190113.shtml,https://liturgia.silvestrini.org/letture/2019-01-13.html
2019,2019-01-20,http://www.lachiesa.it/calendario/Detailed/20190120.shtml,https://liturgia.silvestrini.org/letture/2019-01-20.html
2019,2019-01-25,http://www.lachiesa.it/calendario/Detailed/20190125.shtml,https://liturgia.silvestrini.org/letture/2019-01-25.html
2019,2019-01-27,http://www.lachiesa.it/calendario/Detailed/20190127.shtml,https://liturgia.silvestrini.org/letture/2019-01-27.html
2019,2019-02-02,http://www.lachiesa.it/calendario/Detailed/20190202.shtml,https://liturgia.silvestrini.org/letture/2019-02-02.html
2019,2019-02-03,http://www.lachiesa.it/calendario/Detailed/20190203.shtml,https://liturgia.silvestrini.org/letture/2019-02-03.html
2019,2019-02-10,http://www.lachiesa.it/calendario/Detailed/20190210.shtml,https://liturgia.silvestrini.org/letture/2019-02-10.html
2019,2019-02-11,http://www.lachiesa.it/calendario/Detailed/20190211.shtml,https://liturgia.silvestrini.org/letture/2019-02-11.html
2019,2019-02-17,http://www.lachiesa.it/calendario/Detailed/20190217.shtml,https://liturgia.silvestrini.org/letture/2019-02-17.html
2019,2019-02-22,http://www.lachiesa.it/calendario/Detailed/20190222.shtml,https://liturgia.silvestrini.org/letture/2019-02-22.html
2019,2019-02-24,http://www.lachiesa.it/calendario/Detailed/20190224.shtml,https://liturgia.silvestrini.org/letture/2019-02-24.html
2019,2019-03-03,http://www.lachiesa.it/calendario/Detailed/20190303.shtml,https://liturgia.silvestrini.org/letture/2019-03-03.html
2019,2019-03-06,http://www.lachiesa.it/calendario/Detailed/20190306.shtml,https://liturgia.silvestrini.org/letture/2019-03-06.html
2019,2019-03-10,http://www.lachiesa.it/calendario/Detailed/20190310.shtml,https://liturgia.silvestrini.org/letture/2019-03-10.html
2019,2019-03-17,http://www.lachiesa.it/calendario/Detailed/20190317.shtml,https://liturgia.silvestrini.org/letture/2019-03-17.html
2019,2019-03-19,http://www.lachiesa.it/calendario/Detailed/20190319.shtml,https://liturgia.silvestrini.org/letture/2019-03-19.html
2019,2019-03-24,http://www.lachiesa.it/calendario/Detailed/20190324.shtml,https://liturgia.silvestrini.org/letture/2019-03-24.html
2019,2019-03-25,http://www.lachiesa.it/calendario/Detailed/20190325.shtml,https://liturgia.silvestrini.org/letture/2019-03-25.html
2019,2019-03-31,http://www.lachiesa.it/calendario/Detailed/20190331.shtml,https://liturgia.silvestrini.org/letture/2019-03-31.html
2019,2019-04-07,http://www.lachiesa.it/calendario/Detailed/20190407.shtml,https://liturgia.silvestrini.org/letture/2019-04-07.html
2019,2019-04-14,http://www.lachiesa.it/calendario/Detailed/20190414.shtml,https://liturgia.silvestrini.org/letture/2019-04-14.html
2019,2019-04-15,http://www.lachiesa.it/calendario/Detailed/20190415.shtml,https://liturgia.silvestrini.org/letture/2019-04-15.html
2019,2019-04-16,http://www.lachiesa.it/calendario/Detailed/20190416.shtml,https://liturgia.silvestrini.org/letture/2019-04-16.html
2019,2019-04-17,http://www.lachiesa.it/calendario/Detailed/20190417.shtml,https://liturgia.silvestrini.org/letture/2019-04-17.html
2019,2019-04-18,http://www.lachiesa.it/calendario/Detailed/20190418.shtml,https://liturgia.silvestrini.org/letture/2019-04-18.html
2019,2019-04-18,http://www.lachiesa.it/calendario/Detailed/20190418.shtml,https://liturgia.silvestrini.org/letture/2019-04-18.html
