id_canti,similarity,titolo,autore,raccolta,momento,link_youtube
2087,31,Preconio Pasquale,Fra Giuseppe di Fatta,,5,5QKwhomm0G8
282,30,Lo Spirito del Signore,Marco Frisina,,"21,6,17",wy2g6aSREag
2248,30,Ascolta oggi ,Silverio Fioravanti,,21,
2303,28,Annuncio Pasquale,Domenico Machetta,,5,
225,28,Il canto della creazione,Giosy Cento,,"21,14",UmZMsOYQtUY
1709,28,Signore da chi andremo,Alejandro Mejia,,"31,52",J5tytDPEmCc
2737,28,Inno alla Parola,"R.Farruggio, V.Valenti",Da uomo a uomo,"21,31,17",q2GgtAvd53M
1879,28,Preconio Pasquale,Kiko Arguello,,"21,5",
2799,27,Gloria a Dio - 2023,Daniele Esposito,,23,Kk3QIQ08WYA
2176,27,Gloria a Dio nell'alto dei cieli,Francesco Buttazzo,Dall'amore di Dio,23,bhDLqwo5PHI
2394,26,Fa' che io creda,"RnS - De Luca, Conte",Io scelgo Te,26,RCquNBv0fik
213,26,Gloria a Dio,Luigi Mariano,,23,KewJv-uYGLk
1777,26,E' il Signore e dà la vita,Comunità Gesù Risorto,,"32,14",ovf-n3ScJ_8
2253,26,Venite applaudiamo al Signore,Kiko Arguello,,"21,4",AV8drfqaYE0
1713,26,"Ti ringrazio, o mio Signore",C. Gabarain,,"32,52",v5ewwgxAuA4
1883,26,Il canto del mare,Marco Frisina,,"24,5",
1728,26,Gloria a Dio,Guglielmo Amadei,La nostra festa è Cristo,23,JtJ4fbTGwNo
2454,26,Gloria a Dio,Giuseppe Tranchida,Con Voci di Gioia,23,I57AWJx0x4g
223,25,Il canto del deserto,Piero Ciardella,,"31,15",iHQdPozISDo
1894,25,"Rendo grazie al tuo nome, Signore",Ciardella P.,,32,
1837,25,Dio è la mia salvezza,Marco Frisina,Salvatore del mondo,"2,4",yO6xhARbaLM
205,25,Gioisci Figlia di Sion,Gen Verde,Sulla via della speranza,"32,2,3,7",CdMfAsdFpxU
361,25,Popoli tutti acclamate,RnS,,"21,31,32,14",9jxXJ79BFSU
1674,25,Non sono più io che vivo,Stefano La Porta,,"31,52",_45-2Dr9dQ4
307,25,Mia forza e mio canto,Pierangelo Comi,,"14,17",lhWpwbUTchk
242,25,In principio,Daniele Ricci,,"21,3",jsFibHveYW4
2004,25,Canzone di San Giuseppe,Guido Clericetti - Adriana Mascagni,,"31,32,3,7",PRadNjnGKWs
2628,25,Gloria a Dio ,RnS - S.Martinez,Ad una voce,23,oltLI_EgOfw
2780,24,Grazie Signore,Filippo Daino,,"31,9,10,52,54",K4FCwj5IVJ4
1759,24,Io ti cerco,Sequeri - Belli,,"21,4",9shFqgM_OgQ
2015,24,Chiesa di Dio,Costa - Villeneuve,,"21,4,10,14,20",gE2gfXPhpkU
1458,24,Gloria,Francesco Buttazzo,Vita nuova con te,23,9EMdVh1IMz0
117,24,Cantiamo Te,Gragnani,,"21,14,19",RN5HIkTbvzU
2081,24,Cristo è risorto è vivo!  È con noi!,A. Roncari – L. Capello,,"31,32,5",od7T90zC794
2270,24,Non sono più io che vivo,RnS,Misericordia sei,31,_45-2Dr9dQ4
2301,24,E lo credemmo abbandonato da DIo,Pierangelo Sequeri,,"31,4",rkW8-9ToP9s
195,24,Fissa gli occhi,Franco Costantini,,"31,9",NMWBFrFu0w0
47,24,Amare questa vita,G. Meregalli,,"21,20",tUE-GpZ4RmM
321,24,Noi canteremo gloria a Te,Gino Stefani - D. Stefani,,"21,32,14,19",beOpc0kvk0c
55,24,Annunceremo che Tu,Paolo Auricchio,,"32,16",ZfI4bBMKSRs
1675,24,Symbolum ‘77,Pierangelo Sequeri,In cerca d'autore,"31,14,19",r-hf2dOBfDE
1613,24,Come un prodigio,Debora Vezzani,,31,KOSXHmMwJQI
179,24,E sono solo un uomo,Pierangelo Sequeri ,In cerca d'autore,31,Fz3h8MZC-dk
133,24,Come è grande,Roberto Grotti,,"31,4,11,14",GWIcRqwR0Sk
208,24,Gloria,Marcello Giombini,,23,2inSW_DKXlQ
1480,24,Il canto del mare,Marco Frisina,,"21,32",ikUhuknKHYA
1588,24,Lode e Gloria,Paolo Spoladore,Dacci Pace,"23,24",3zvarhz2k9U
446,24,Symbolum ‘77 (v2),Pierangelo Sequeri,In cerca d'autore,"31,14,19",r-hf2dOBfDE
239,23,Il Tuo amore,---,,31,
1627,23,Giorno di Pentecoste,Giosy Cento,,6,op08cAePvIk
2472,23,Benedetto sei Tu che vieni,Semprini – Galliano,Natale del Signore,"2,3",r7M3bZtiFuc
1936,23,Alla vittima pasquale,P. Dargenio,Esulta il cielo,5,nXCbbGTvXgo
452,23,Testimoni dell’amore,Francesco Buttazzo,,"5,16",uGwq9KukGGk
444,23,Sulla Tua parola (Pietro vai),P. Paci - G. Santambrogio - Stefano Varnavà,,"31,16,17,20",jXE0ta1g1b0
414,23,Se m’accogli,Pierangelo Sequeri,,"21,26,13,14",YkAIWOfJiJM
76,23,Beatitudine (La preghiera di Gesù è la nostra),Gaetano Castiglia,,"31,17",c6uJoG9BbJ8
2727,23,La legge del Signore,Movimento Eucaristico Giovanile,Sulla strada per Emmaus,31,8AeCC4Dl3Bk
2340,23,Questo è il giorno,Giuseppe Tranchida ,Resta con noi Gesù,"21,31,10",dS1yfGUS2Gg
231,23,Il Pane del Cammino,Franco Motta - Pierangelo Sequeri,,"21,26,31,32",bjaWckUY05I
2590,23,Inno di liberazione,RnS,Vittoria!,5,50tL7r9jX0I
7,23,Accoglimi,Pierangelo Sequeri ,In cerca d'autore,"4,11,18",M5FBVpkUsWc
163,23,Dov’è carità e amore,Valentino Meloni - F. Zanettin - Terenzio Zardini,,"31,17",2aIrBW6r0aw
2598,23,Simeone,Daniele Esposito,,"31,32,10,13",rH07fVSFjq8
2305,23,Il tuo amore per noi,Piera Cori,,26,9aaxeabeNq0
2119,23,Benedetto nei secoli,Matteo Zambuto,,26,fQZUOuYGE7Y
447,23,Symbolum ‘80 (Ma la tua Parola),Pierangelo Sequeri,Ma la tua Parola,"31,2,17,19",pSMZAXrvT4A
1050,23,Amo,Stefano Fioravanti,,24,PHJIZ9hZo2I
1946,23,Aprite le porte a Cristo,Marco Frisina,Sacerdote per sempre,21,tQO6XO9syFk
2155,23,Isaia 62,Silvia Gardi,,"21,31,32,15,20",amu-_m4wRKM
73,23,Beati quelli che ascoltano,Michele Bonfitto,Sei grande nell'amore,"21,31",CuFvTANFHr4
1562,22,Come il cervo va all'acqua viva,"Bob Hurd, Marco Deflorian",,31,-VdUBfZfWFY
1698,22,Vergin Santa,RnS,,"21,31,2,3,7",mTnD1HXRnfk
196,22,Fonti di Nazareth,Chiara Bizzetti,,5,vUOhl98MLuY
2133,22,Cantico di Anna,RnS,,17,cJXQaL644FQ
