id_canti,titolo,score_vector_similarity,score_text_similarity,score_deviation,score_selection,score_history,score,adeguatezza
1958,Resto con te,,0.57,0.36,,0.84,64,:material-dots-horizontal: Mh
2818,"Dio mio, Dio mio perchè mi hai abbandonato ",,0.69,0.52,,,61,:material-dots-horizontal: Mh
196,Fonti di Nazareth,,0.69,0.47,,,59,:material-dots-horizontal: Mh
428,Andate in mezzo a loro,,0.67,0.46,,,57,:material-dots-horizontal: Mh
2301,E lo credemmo abbandonato da DIo,0.7501616349156286,0.6,0.34,,,56,:material-dots-horizontal: Mh
55,Annunceremo che Tu,,0.64,0.45,,,56,:material-dots-horizontal: Mh
2333,Umiliò se stresso,0.7620269620574899,0.5,0.36,,,54,:material-dots-horizontal: Mh
1865,Osanna al Figlio di David,,0.33,-0.01,,1.0,54,:material-dots-horizontal: Mh
2230,Vieni con me,,0.61,0.46,,,54,:material-dots-horizontal: Mh
88,Camminerò,0.6620511189097564,0.54,0.38,,,53,:material-dots-horizontal: Mh
2149,Getsemani,0.6851177369697783,0.55,0.36,,,53,:material-dots-horizontal: Mh
183,Ecco l’Uomo,,0.6,0.45,,,53,:material-dots-horizontal: Mh
2535,Il suo amore per me,,0.61,0.41,,,52,:material-dots-horizontal: Mh
179,E sono solo un uomo,,0.63,0.36,,,51,:material-dots-horizontal: Mh
1542,Ecco quel che abbiamo (v2),,0.58,0.42,,,51,:material-dots-horizontal: Mh
1871,Come fuoco per il mondo,,0.62,0.38,,,51,:material-dots-horizontal: Mh
1416,Ecco quel che abbiamo,,0.58,0.42,,,51,:material-dots-horizontal: Mh
2102,Giullare dei campi,,0.59,0.38,,,50,:material-dots-horizontal: Mh
1627,Giorno di Pentecoste,,0.62,0.36,,,50,:material-dots-horizontal: Mh
2436,Anche tu sei mio fratello,,0.55,0.44,,,50,:material-dots-horizontal: Mh
2663,Dove s'alza un'onda,,0.56,0.42,,,50,:material-dots-horizontal: Mh
2758,Grida nuova umanità,,0.56,0.43,,,50,:material-dots-horizontal: Mh
295,Madre io vorrei,,0.57,0.4,,,49,:material-dots-horizontal: Mh
2233,Cosa renderti,,0.54,0.42,,,49,:material-dots-horizontal: Mh
2099,Sai fischiare?,,0.55,0.41,,,49,:material-dots-horizontal: Mh
327,Nostalgia d’una sorgente,,0.58,0.38,,,49,:material-dots-horizontal: Mh
2203,Cantico delle creature,0.7141791621230996,0.46,0.27,,,48,:material-dots-horizontal: Mh
169,E correremo insieme,,0.59,0.34,,,48,:material-dots-horizontal: Mh
1555,Il Signore della danza,,0.55,0.39,,,48,:material-dots-horizontal: Mh
253,Io non sono degno,,0.58,0.35,,,48,:material-dots-horizontal: Mh
1775,Non mi abbandonare,0.5921240470459355,0.48,0.35,,,47,:material-dots-horizontal: Mh
2077,Giullare dei campi,,0.57,0.35,,,47,:material-dots-horizontal: Mh
2575,Tu sei qui (Way maker),,0.5,0.43,,,47,:material-dots-horizontal: Mh
2728,Disse un giorno il Padre,,0.59,0.32,,,47,:material-dots-horizontal: Mh
1467,Non più due (Buttazzo),,0.56,0.35,,,47,:material-dots-horizontal: Mh
1597,Gesù gridò Mashalem,0.7073970804462478,0.44,0.28,,,47,:material-dots-horizontal: Mh
2550,Nascerà,,0.56,0.33,,,46,:material-dots-horizontal: Mh
2269,La trasfigurazione,0.6999780103890041,0.5,0.17,,,46,:material-dots-horizontal: Mh
1596,Il Figliol Prodigo (Abbracciami Gesù),,0.55,0.35,,,46,:material-dots-horizontal: Mh
227,Il figliol prodigo,,0.54,0.35,,,46,:material-dots-horizontal: Mh
2104,Luce per noi,,0.56,0.32,,,45,:material-dots-horizontal: Mh
1818,Ciò che Dio ha fatto in me,0.6937585391565665,0.44,0.23,,,45,:material-dots-horizontal: Mh
2453,Grazie Gesù,,0.52,0.36,,,45,:material-dots-horizontal: Mh
2317,L'uomo dei dolori,0.7332831081137658,0.42,0.17,,,44,:material-dots-horizontal: Mh
1942,L'ultima cena,,0.5,0.36,,,44,:material-dots-horizontal: Mh
1665,Il nostro cuore offriamo a te,,0.51,0.35,,,44,:material-dots-horizontal: Mh
1993,Maria (Quando l'amor),,0.48,0.38,,,44,:material-dots-horizontal: Mh
2511,Dio farà un via ,,0.51,0.36,,,44,:material-dots-horizontal: Mh
2223,Un raggio splenderà,,0.54,0.32,,,44,:material-dots-horizontal: Mh
76,Beatitudine (La preghiera di Gesù è la nostra),,0.59,0.26,,,44,:material-dots-horizontal: Mh
2923,Chiara ad Agnese,,0.53,0.32,,,44,:material-dots-horizontal: Mh
1850,Ma non avere paura,0.6033137828064941,0.45,0.26,,,44,:material-dots-horizontal: Mh
46,Amar come Gesù amò (per avere la felicità),,0.51,0.35,,,44,:material-dots-horizontal: Mh
1763,Ho abbandonato,,0.54,0.31,,,44,:material-dots-horizontal: Mh
2160,Il nostro cuore offriamo a te (completo),,0.51,0.35,,,44,:material-dots-horizontal: Mh
2183,In una notte come tante,,0.53,0.31,,,43,:material-dots-horizontal: Mh
2057,Gesù ricordati di me,,0.51,0.34,,,43,:material-dots-horizontal: Mh
2268,Preferisco il paradiso,,0.45,0.41,,,43,:material-dots-horizontal: Mh
1952,La canzone di Luciano,,0.54,0.3,,,43,:material-dots-horizontal: Mh
298,Mani,,0.52,0.31,,,43,:material-dots-horizontal: Mh
2751,Tu qui,,0.49,0.35,,,43,:material-dots-horizontal: Mh
267,L’unico maestro,,0.48,0.36,,,43,:material-dots-horizontal: Mh
2329,Non cercate tra i morti,,0.53,0.3,,,43,:material-dots-horizontal: Mh
2570,Se avessi mai commesso,,0.55,0.29,,,43,:material-dots-horizontal: Mh
1953,So che sei qui,,0.55,0.28,,,43,:material-dots-horizontal: Mh
2688,"Amici, è lui",,0.5,0.34,,,43,:material-dots-horizontal: Mh
2552,Nel nome di Gesù,,0.51,0.32,,,43,:material-dots-horizontal: Mh
1585,Il 14 di Nisan,,0.53,0.29,,,42,:material-dots-horizontal: Mh
326,Non cercate tra i morti,,0.53,0.29,,,42,:material-dots-horizontal: Mh
457,Ti offriamo,,0.52,0.29,,,42,:material-dots-horizontal: Mh
1715,Trasformi in Gesù,,0.51,0.31,,,42,:material-dots-horizontal: Mh
2429,L'ultima cena,,0.56,0.25,,,42,:material-dots-horizontal: Mh
2062,Canoni - Il Signore è la mia forza,0.6864958195150029,0.41,0.18,,,42,:material-dots-horizontal: Mh
2664,La giusta direzione,,0.52,0.3,,,42,:material-dots-horizontal: Mh
1927,Sei fuoco e vento,,0.51,0.3,,,42,:material-dots-horizontal: Mh
2639,Anche tu vedrai,,0.48,0.35,,,42,:material-dots-horizontal: Mh
447,Symbolum ‘80 (Ma la tua Parola),,0.56,0.25,,,42,:material-dots-horizontal: Mh
2037,Cuore a cuore,,0.5,0.3,,,41,:material-dots-horizontal: Mh
359,Perchè Tu sei con me,0.5784402305862341,0.44,0.19,,,41,:material-dots-horizontal: Mh
2394,Fa' che io creda,,0.56,0.23,,,41,:material-dots-horizontal: Mh
2473,In trasparenza,,0.49,0.3,,,41,:material-dots-horizontal: Mh
463,Tu chi sei,,0.53,0.26,,,41,:material-dots-horizontal: Mh
185,Eccomi,0.7260122387926307,0.41,0.11,,,41,:material-dots-horizontal: Mh
195,Fissa gli occhi,,0.55,0.24,,,41,:material-dots-horizontal: Mh
189,Esci dalla Tua terra,,0.53,0.25,,,41,:material-dots-horizontal: Mh
1795,Sei giunto da molto lontano,,0.49,0.31,,,41,:material-dots-horizontal: Mh
2999,Prenderemo il largo,,0.49,0.31,,,41,:material-dots-horizontal: Mh
245,Insieme a Te,,0.54,0.25,,,41,:material-dots-horizontal: Mh
223,Il canto del deserto,,0.56,0.23,,,41,:material-dots-horizontal: Mh
382,Resta qui con noi,,0.52,0.25,,,40,:material-dots-horizontal: Mh
2122,Tu sei la forza,,0.53,0.23,,,40,:material-dots-horizontal: Mh
2227,Il dono del saio,,0.52,0.24,,,40,:material-dots-horizontal: Mh
1569,Stai con me,,0.46,0.32,,,40,:material-dots-horizontal: Mh
2448,Ai piedi della Croce,,0.52,0.25,,,40,:material-dots-horizontal: Mh
1599,Mi rialzerai,0.5771630066209718,0.39,0.24,,,40,:material-dots-horizontal: Mh
1933,Se tu sei con me,,0.44,0.34,,,40,:material-dots-horizontal: Mh
1050,Amo,,0.54,0.23,,,40,:material-dots-horizontal: Mh
378,Re di gloria,,0.52,0.25,,0.4,40,:material-dots-horizontal: Mh
2063,Popolo mio,0.6332274468787379,0.37,0.17,,,39,:material-dots-horizontal: Mh
331,O Maestro (San Francesco),,0.5,0.25,,,39,:material-dots-horizontal: Mh
222,I Tuoi passi,,0.47,0.29,,,39,:material-dots-horizontal: Mh
1773,L'addolorata,,0.44,0.32,,,39,:material-dots-horizontal: Mh
2418,Padre nostro (testo adattato nuova liturgia),,0.48,0.28,,,39,:material-dots-horizontal: Mh
2504,Chiara è la tua sorgente,,0.5,0.26,,,39,:material-dots-horizontal: Mh
2769,Signore delle Cime,,0.44,0.33,,,39,:material-dots-horizontal: Mh
1675,Symbolum ‘77,,0.54,0.2,,,39,:material-dots-horizontal: Mh
2533,Il custode d'Israele (salmo 120/121),0.6848485401204853,0.4,0.09,,,39,:material-dots-horizontal: Mh
380,Resta Accanto a me,,0.51,0.25,,,39,:material-dots-horizontal: Mh
446,Symbolum ‘77 (v2),,0.54,0.2,,,39,:material-dots-horizontal: Mh
1924,Nella Chiesa del Signore,,0.5,0.26,,,39,:material-dots-horizontal: Mh
2737,Inno alla Parola,,0.57,0.16,,,39,:material-dots-horizontal: Mh
160,Dio s’è fatto come noi,,0.52,0.22,,,39,:material-dots-horizontal: Mh
134,Come fuoco vivo,,0.5,0.25,,,39,:material-dots-horizontal: Mh
239,Il Tuo amore,,0.53,0.22,,,39,:material-dots-horizontal: Mh
1687,Gesù dolce musica,,0.46,0.3,,,39,:material-dots-horizontal: Mh
2392,Il cantico dei doni,,0.49,0.26,,,39,:material-dots-horizontal: Mh
2596,L'annuncio a Maria,0.6207033549106057,0.36,0.2,,,39,:material-dots-horizontal: Mh
2801,Ditemi è vero!,,0.45,0.32,,,39,:material-dots-horizontal: Mh
316,Nel Tuo silenzio,,0.51,0.22,,,38,:material-dots-horizontal: Mh
1778,Apri i cieli,,0.47,0.26,,,38,:material-dots-horizontal: Mh
1880,E la strada si apre,,0.48,0.25,,,38,:material-dots-horizontal: Mh
2155,Isaia 62,0.7000974907907668,0.4,0.04,,,38,:material-dots-horizontal: Mh
2447,Tempo di ricominciare,,0.52,0.21,,,38,:material-dots-horizontal: Mh
2168,I miei occhi elevo a te ,,0.49,0.25,,,38,:material-dots-horizontal: Mh
3059,Io con te,,0.5,0.22,,,38,:material-dots-horizontal: Mh
78,Beato l’uomo,,0.53,0.2,,,38,:material-dots-horizontal: Mh
1630,Gesù mori per me (invocazione),,0.43,0.31,,,38,:material-dots-horizontal: Mh
2786,Muovi le montagne,0.6083713077100882,0.43,0.09,,,38,:material-dots-horizontal: Mh
2072,Benedite e acclamate,,0.5,0.23,,,38,:material-dots-horizontal: Mh
193,Fede è,,0.49,0.24,,,38,:material-dots-horizontal: Mh
2693,Benvenuto Dio bambino,,0.46,0.28,,,38,:material-dots-horizontal: Mh
1811,Vieni dal Libano,,0.46,0.29,,,38,:material-dots-horizontal: Mh
228,Il giovane ricco,,0.45,0.3,,,38,:material-dots-horizontal: Mh
